manufacturer,device,n_sensitivity,sensitivity,n_specificity,specificity,cluster,ppv_0.1,npv_0.1,ppv_0.2,npv_0.2,ppv_0.3,npv_0.3,ppv_0.4,npv_0.4,ppv_0.5,npv_0.5,ppv_0.6,npv_0.6,ppv_0.7,npv_0.7,ppv_0.8,npv_0.8,ppv_0.9,npv_0.9
"Jiangsu Well Biotech Co, Ltd.",COVID-19 IgM/IgG Rapid Test (Colloidal gold),30,1.0,80,0.9375,1,0.64,1.0,0.8,1.0,0.8727272727272727,1.0,0.9142857142857144,1.0,0.9411764705882353,1.0,0.96,1.0,0.9739130434782608,1.0,0.9846153846153847,1.0,0.993103448275862,1.0
"Jiangsu Well Biotech Co., Ltd.",COVID-19 IgM/IgG Rapid Test,30,1.0,80,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Liming Bio,Strong Step SARS-CoV-2 IgM/IgG Antibody Rapid Test,30,0.7666666666666667,80,1.0,3,1.0,0.9747292418772563,1.0,0.9448818897637795,1.0,0.9090909090909092,1.0,0.8653846153846153,1.0,0.8108108108108107,1.0,0.7407407407407407,1.0,0.6474820143884893,1.0,0.5172413793103448,1.0,0.3225806451612903
LumiQuick Diagnostics,Quick Profile 2019-nCoV IgG/IgM Test Card,30,0.9666666666666667,80,0.9,4,0.517857142857143,0.9959016393442623,0.7073170731707319,0.9908256880733944,0.8055555555555556,0.984375,0.8656716417910448,0.9759036144578314,0.90625,0.9642857142857143,0.9354838709677419,0.9473684210526315,0.9575471698113207,0.9204545454545455,0.9747899159663865,0.8709677419354839,0.9886363636363636,0.75
LumiraDX UK Ltd,LumiraDx SARS-CoV-2 Ab Test,30,1.0,80,0.9875,1,0.8988764044943824,1.0,0.9523809523809526,1.0,0.9716599190283401,1.0,0.98159509202454,1.0,0.9876543209876544,1.0,0.9917355371900827,1.0,0.9946714031971581,1.0,0.9968847352024923,1.0,0.9986130374479889,1.0
LumiraDx UK Ltd,Modified LumiraDx SARS-CoV-2 Ab Test,30,1.0,80,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MEDsan GmbH,"MEDsan biological health solutions, MEDsan COVID-19 IgM/IgG Rapid Test",30,0.9,80,0.925,1,0.5714285714285716,0.9881305637982196,0.7500000000000001,0.9736842105263158,0.8372093023255814,0.9557195571955719,0.888888888888889,0.9327731092436974,0.9230769230769231,0.902439024390244,0.9473684210526315,0.8604651162790697,0.9655172413793104,0.7985611510791368,0.9795918367346939,0.6981132075471698,0.9908256880733946,0.5068493150684932
"MOKOBIO Biotechnology R&D Center, INC.",SARS-CoV-2 IgM & IgG Quantum Dot Immunoassay,30,1.0,80,0.725,4,0.28776978417266186,1.0,0.47619047619047616,1.0,0.6091370558375634,1.0,0.7079646017699115,1.0,0.7843137254901962,1.0,0.8450704225352113,1.0,0.8945686900958466,1.0,0.9356725146198831,1.0,0.9703504043126685,1.0
MP Biomedicals Asia Pacific Pte. Ltd.,MP Diagnostics Assure SARS-CoV-2 IgG/IgM Rapid Test,30,0.9666666666666667,80,0.8875,4,0.4884210526315788,0.9958441558441559,0.6823529411764706,0.9906976744186046,0.7864406779661016,0.9841584158415841,0.8513761467889909,0.9755725190839695,0.8957528957528959,0.9638009049773756,0.9279999999999999,0.9466666666666667,0.9524926686217008,0.9194244604316547,0.9717277486910996,0.8693877551020408,0.9872340425531915,0.7473684210526316
MedMira Inc.,REVEALCOVID-19 Total Antibody Test,30,0.5333333333333333,80,1.0,0,1.0,0.9507042253521127,1.0,0.8955223880597014,1.0,0.8333333333333333,1.0,0.7627118644067796,1.0,0.6818181818181818,1.0,0.5882352941176472,1.0,0.4787234042553192,1.0,0.34883720930232553,1.0,0.19230769230769226
