k,inertia
1,2.6694909644736864
2,1.0129062091538295
3,0.5064082416867342
4,0.33336032767876783
5,0.2377335092086649
6,0.15523874821484618
7,0.13519313127976657
8,0.11659765328212132
9,0.10064077551167888
