k,inertia
1,6.670571344641607
2,2.0808900311905094
3,1.0952973371832144
4,0.6648626625095646
5,0.4194412739098073
6,0.3342677720289253
7,0.2525466448724811
8,0.1939304499728041
9,0.1619003715141944
